date,title,content
2019-05-30,習6月訪俄 將與普丁簽「兩個重要聯合聲明」,大陸國家主席習近平主席6月將出訪俄羅斯。對此，大陸外交部副部長張漢暉30日介紹習近平這次出訪的情況。張漢暉指出，這次訪問期間兩國元首將簽署並發表「兩個重要的聯合聲明」。他還稱，面對世界亂象，陸俄關系風景獨好，且兩國關系既不針對第三方，也絕不受第三方的挑撥和干擾。據陸媒澎湃新聞報導，張漢暉表示，應俄羅斯聯邦總統普丁邀請，國家主席習近平將於6月5日至7日對俄羅斯進行國事訪問並出席第二十三屆聖彼得堡國際經濟大陸國家主席習近平主席6月將出訪俄羅斯。對此，大陸外交部副部長張漢暉30日介紹習近平這次出訪的情況。張漢暉指出，這次訪問期間兩國元首將簽署並發表「兩個重要的聯合聲明」。他還稱，面對世界亂象，陸俄關系風景獨好，且兩國關系既不針對第三方，也絕不受第三方的挑撥和干擾。據陸媒澎湃新聞報導，張漢暉表示，應俄羅斯聯邦總統普丁邀請，國家主席習近平將於6月5日至7日對俄羅斯進行國事訪問並出席第二十三屆聖彼得堡國際經濟論壇。這是習近平主席在新任期首次對俄羅斯進行國事訪問，也是習主席首次出席聖彼得堡國際經濟論壇。談到陸俄關系時，張漢暉表示，面對世界亂象，陸俄關系風景這邊獨好，日益成熟、穩定、堅韌，雙方政治互信堅實牢固，在涉及彼此核心利益和重大關切問題上，相互堅定支持，兩國關系既不針對第三方，也絕不受第三方的挑撥和幹擾。張漢暉表示，訪問期間習主席將同普丁總統舉行國事活動，共同出席陸俄建交70周年慶祝大會等一系列豐富多彩的人文交流活動，簽署並發表，兩份重要政治成果文件，見證雙方有關部門簽署多份各領域合作文件。對於習近平此次訪俄的亮點，張漢暉表示，兩國元首是陸俄高水平發展的掌舵人，2013年以來，習近平和普丁在雙多邊場合會晤28次，建立了密切的工作聯系和深厚的個人友誼。這次訪問期間兩國元首將簽署並發表「兩個重要的聯合聲明」。一是關於陸俄關系的聯合聲明，對兩國關系整體發展和各領域合作作出規劃部署，核心是推動兩國關系提質升級，共同開啟陸俄關系高水平大發展的新時代；二是針對當前國際安全特別是全球戰略穩定領域的新形勢，就涉及國際戰略穩定問題發表聯合聲明，體現陸俄堅持多邊主義，合力應對戰略安全領域面臨的挑戰，加強在地區安全熱點問題上戰略協作的共同立場和決心。這兩份聯合聲明都會對外公開全文發布。
2019-05-30,國際學術組織IEEE被爆 禁華為員工擔任審稿人,由於美國對大陸通信巨頭華為實施制裁，一個全球主要的科學學會被曝禁止華為員工，擔任旗下期刊雜志的編輯和審稿人。IEEE NTC北京分會主席張海霞，申請退出IEEE期刊編委會。而南京大學教授周志華也指出，IEEE只是在美註冊，而不是美國的組織，建議IEEE改到瑞士去註冊。據美國之音報導，一封來自國際電氣與電子工程師協會（IEEE）的郵件被曝光，內容指出由於美國對華為的禁令，IEEE將無法讓華為的員工在同行評審階段擔任期刊審稿人由於美國對大陸通信巨頭華為實施制裁，一個全球主要的科學學會被曝禁止華為員工，擔任旗下期刊雜志的編輯和審稿人。IEEE NTC北京分會主席張海霞，申請退出IEEE期刊編委會。而南京大學教授周志華也指出，IEEE只是在美註冊，而不是美國的組織，建議IEEE改到瑞士去註冊。據美國之音報導，一封來自國際電氣與電子工程師協會（IEEE）的郵件被曝光，內容指出由於美國對華為的禁令，IEEE將無法讓華為的員工在同行評審階段擔任期刊審稿人或編輯。同時，郵件還指出，華為員工可以繼續參與他們在IEEE所屬的領導和治理機構，但在制裁解除前無法處理任何文件。IEEE是一個由工程師、科學家和學生組成的組織，會員人數超過40萬人，遍布160多個國家。協會出版了全球電子和電氣及計算機科學領域30％的文獻，並制定了超過900個現行工業制定標準，到目前為止，華為一直是該研究機構的核心成員。這項禁令，將美國對華為的制裁從產業界延伸到學術界。5月15日，美國商務部以維護國家安全為由，將華為及其附屬公司列入「實體名單」，禁止他們在未獲許可證的情況下購買美國的技術和設備。雖然IEEE是非營利性跨國學術組織，但由於其註冊地是美國紐約，必須遵守美國的禁令。由於IEEE的巨大影響力，華為被禁的消息在大陸學術界引發了軒然大波。IEEE NTC北京分會主席、北京大學教授張海霞在一封聲明中申請退出IEEE期刊編委會。南京大學教授周志華稱，IEEE只是在美國註冊，而不是美國的組織，建議IEEE各級管理層的專家向IEEE提議改到瑞士去註冊。
2019-05-30,發展5G 美邊批陸邊向日招手,美國準備聯合日本發展5G網絡建設？美國駐日大使海格提（William Hagerty）與共和黨參議員布萊克本（Marsha Blackburn）30日聯名投書日媒產經新聞，呼籲美日應攜手發展5G建設架構，以對抗外國勢力對國安及經濟造成的威脅。日媒產經新聞今日在頭版刊出海格提與布萊克本的聯名投書，內文對日本讚譽有加，疾呼美國與日本應在5G建設上聯手，但同時對北京的砲火也相當猛烈。文章從雙方的價值觀出發，認為美日在維護人權、言論自由、媒美國準備聯合日本發展5G網絡建設？美國駐日大使海格提（William Hagerty）與共和黨參議員布萊克本（Marsha Blackburn）30日聯名投書日媒產經新聞，呼籲美日應攜手發展5G建設架構，以對抗外國勢力對國安及經濟造成的威脅。日媒產經新聞今日在頭版刊出海格提與布萊克本的聯名投書，內文對日本讚譽有加，疾呼美國與日本應在5G建設上聯手，但同時對北京的砲火也相當猛烈。文章從雙方的價值觀出發，認為美日在維護人權、言論自由、媒體自立、公平選舉等價值上有一致立場，雙方能奠基於同樣的價值觀來發展5G網絡，進一步讓思想與言論能夠跨越國界、州界自由流通；相反的，「大陸政體卻嚴格監控人民發表異議與批評。」其次，文章指出隨著全球建設5G，美日兩國對建設安全供應鏈有共同需求，能依此建立長期合作關係，「我們在保護通訊網絡免於遭外國潛在干擾、操弄或是間諜行為上有共同利益」，內文指日本政府已發布政策，防堵可能對國家安全造成威脅的通訊設備，也點出華為及其他中國大陸企業已經遭到美國封殺的事情，並且提及美商務部近期已公布貿易黑名單，禁止美國企業販售科技給「不受信任、可能遭外國政府控制的供應商」，對此，文章讚許日本在維護5G網絡安全上所做出的努力。文末，海格提與布萊克本更直白點出美日聯手能夠保護兩國公民及企業不受中國大陸「不公平及有害的經濟行為」影響。內文一方面讚許日本加入美國及歐盟陣營，譴責這些不公平行為，另一方面也對北京放話，「除非中國大陸終結扭曲市場的行為，否則雙方無法享受真正的合作。」文章最後段再對日本溫情喊話：「讓我們運用獨特的美日關係來建立一套能夠保護我們公民、公司及市場的標準。」
2019-05-30,一戰成名！劉欣國際英語演講比賽 奪冠影片曝光,中國國際電視台（CGTN）女主播劉欣30日與美國福斯電視台女主播黎根就美中貿易戰展開舌戰，引起全球關注，更讓劉欣成為大陸網友熱搜關鍵字。而劉欣曾在大二時，代表全中國大陸大學生參加在倫敦舉辦的國際英語演講比賽並奪冠，替她贏得進入中央電視台工作的門票，這段影片也在網路上曝光。綜合大陸媒體報導，當時就讀南京大學外國語學院英語系的劉欣，以「The Mirror and I」 （鏡子與我）敘述自己的祖母和自己兩代中國女性所經歷中國國際電視台（CGTN）女主播劉欣30日與美國福斯電視台女主播黎根就美中貿易戰展開舌戰，引起全球關注，更讓劉欣成為大陸網友熱搜關鍵字。而劉欣曾在大二時，代表全中國大陸大學生參加在倫敦舉辦的國際英語演講比賽並奪冠，替她贏得進入中央電視台工作的門票，這段影片也在網路上曝光。綜合大陸媒體報導，當時就讀南京大學外國語學院英語系的劉欣，以「The Mirror and I」 （鏡子與我）敘述自己的祖母和自己兩代中國女性所經歷的完全不同的命運。劉欣在演講時提到自己喜歡照鏡子，當她還是小女孩的時候常踮起腳尖，努力想從跟她差不多高的梳妝台的鏡子裡，看一名年輕的女性，散發著成熟光彩，對未來充滿自信。至於為何喜歡照鏡子，劉欣說是和陪伴童年的奶奶有關。有一次，劉欣無意間聽到奶奶低聲說著「女人是隱形」的，讓她感到不解，並多次再看看鏡子中是否能看到自己，但直到她成為一名年輕的女性後才明白，這種隱形不是物理形式的，奶奶一復一日照顧家庭、丈夫與家中數十個孩子，但關於家中事務沒人問過她，甚至連劉欣爺爺過世後，還要聽從一家之主，也就是她叔叔的話，「經過數十年來艱辛，她盡到身為女兒、妻子與母親的職責，但做為一個人，奶奶很少被注意到」。劉欣接著說，她的生活與奶奶截然不同，在家中她和家人一起做決定，在學校主持各種各樣的活動，和其他男生、女生沒有什麼不同，還可以決定自己的未來，例如在高中畢業時可選擇未來要念哪所名校，大學有不同科系讓她選擇，更可以選擇自己畢業後要繼續念書或就業，但未來是否會變得有名或富有都不重要，「我會珍惜機會幫助其他女性，幫助她們成為社會成員，讓她們在歷史之鏡中是可見的」。劉欣在演講時強調，她將珍惜有所選擇的權利，這是成千上萬中國女性幾十年艱苦奮鬥的結果。然而，社會仍存在著「男性比女性優越」的錯誤想法，在保持勇氣去競爭直到獲得肯定的同時，大家希望我們是安靜、忠誠、服從的，「這和希望我們是好妻子、好母親並沒有什麼區別」。劉欣最後說，奶奶的故事，映照出千千萬萬中國女性乃至世界女性的人生，但她們很多人仍過著我奶奶的生活，還沒有人意識到她們的價值。劉欣強調，像她這樣的年輕女性有責任努力學習工作，這樣她們可以看到彼此，我們將會在社會的鏡中被看到，這是我的夢想，但除非每個人都意識到「女人撐起半天邊─女性可以為社會做出貢獻，且有權利這麼做」，這個夢想不會實現。雖然劉欣2017年接受陸媒採訪時表示，現在自己看來，這些故事多少有些「老套」，但卻出乎意料的打動了台下的西方評審，「畢竟來自中國的女大學生，確實在他們面前談論中國女性話題，在當時還是第一次」，在27國中的37位選手中脫穎而出奪冠，引起時任中央電視臺台長楊偉光注意並事後主動詢問她是否有意願來央視工作，這場演講也替劉欣贏得進入央視工作的門票。
2019-05-30,美擬減少依賴進口陸稀土,根據路透報導，美國國防部發言人表示，他們已向國會通報一份稀土礦物報告，以減少美國對中國稀土供應的依賴。目前華盛頓對中國作為稀土供應國的角色越來越感到擔憂。國防部發言人安德魯斯（Mike Andrews）表示，國防部最近完成了一份國防生產法案的稀土礦報告，並向國會通報了這份報告。此前，中國環球時報總編輯胡錫進表示，中國正在「認真考慮」限制向美國出口稀土。外界分析，美國和中國之間緊張的關係不斷升級，令人擔憂北京根據路透報導，美國國防部發言人表示，他們已向國會通報一份稀土礦物報告，以減少美國對中國稀土供應的依賴。目前華盛頓對中國作為稀土供應國的角色越來越感到擔憂。國防部發言人安德魯斯（Mike Andrews）表示，國防部最近完成了一份國防生產法案的稀土礦報告，並向國會通報了這份報告。此前，中國環球時報總編輯胡錫進表示，中國正在「認真考慮」限制向美國出口稀土。外界分析，美國和中國之間緊張的關係不斷升級，令人擔憂北京可能利用其主宰稀土供應的有利地位，作為在兩國貿易戰中談判的重要籌碼。2014年至2017年，美國80％的稀土進口均來自中國，美國已將中國稀土和其他一些重要的中國礦產排除在近期的關稅行動之外。不過，中國政府將在6月1日起對從美國進口稀土金屬礦的關稅從10％上調至25％，從而增加了在中國加工稀土金屬的成本。
2019-05-30,陽明海運發揮救助精神 失火帆船2澳洲人獲救,陽明海運所屬貨櫃船卓明輪(YM EXCELLENCE)於5月19日自中國蛇口航向新加坡執行運輸工作途中，驚見一艘失火帆船，發現二名落難者，隨即展開救援行動，二名澳洲籍落難者均平安獲救，目前已平安返國。卓明輪船長李建昇表示，船上人員發現海中不遠處有一艘帆船突然冒出濃煙，不久後見有火舌竄出，船員立即試圖與失火帆船聯繫，此時發現二人搭乘小艇逃出火場，卓明輪當機立斷偏航接近小艇執行救難任務，順利救起二名澳洲籍落難者，並提陽明海運所屬貨櫃船卓明輪(YM EXCELLENCE)於5月19日自中國蛇口航向新加坡執行運輸工作途中，驚見一艘失火帆船，發現二名落難者，隨即展開救援行動，二名澳洲籍落難者均平安獲救，目前已平安返國。卓明輪船長李建昇表示，船上人員發現海中不遠處有一艘帆船突然冒出濃煙，不久後見有火舌竄出，船員立即試圖與失火帆船聯繫，此時發現二人搭乘小艇逃出火場，卓明輪當機立斷偏航接近小艇執行救難任務，順利救起二名澳洲籍落難者，並提供水、毛毯、食物與住艙等服務並予妥善照料，同時與新加坡大使館及海事單位通報聯繫，以協助落難者返國。二名澳洲籍民眾表示，由於火勢迅速竄燒，無法及時發送遇難信號並攜帶文件及財物，所幸遇到陽明海運所屬卓明輪伸出援手提供專業及迅速的救援才有驚無險，內心表達無限感激。陽明海運船隊秉持人安、貨安、船安的理念於全球提供服務，本次的人道救援行動不但展現陽明海運對落實企業社會責任的承諾，同時也充分展現遵守國際公約的精神，努力在人道救助上做出貢獻，並且為台灣建立良好的國際形象。
2019-05-30,第一次！組不成聯合政府 以要重新大選,在以色列總理尼坦雅胡（Benjamin Netanyahu）未能在期限內組成聯合政府後，以國將在9月17日重新舉行全國大選。據CNN新聞網29日報導，這是以色列史上首次經過大選後，卻籌組不出政府。尼坦雅胡所屬的右翼聯合黨（Likud Party）在上月的大選中，獲得國會120席中的35席，但一直未能拉攏前國防部長李柏曼（Avigdor Lieberman）領導的政黨，無法取得國會大多數優勢，國會最終以74對45票通過解散。在為期6周的籌組政府期限內，尼坦雅胡在以色列總理尼坦雅胡（Benjamin Netanyahu）未能在期限內組成聯合政府後，以國將在9月17日重新舉行全國大選。據CNN新聞網29日報導，這是以色列史上首次經過大選後，卻籌組不出政府。尼坦雅胡所屬的右翼聯合黨（Likud Party）在上月的大選中，獲得國會120席中的35席，但一直未能拉攏前國防部長李柏曼（Avigdor Lieberman）領導的政黨，無法取得國會大多數優勢，國會最終以74對45票通過解散。在為期6周的籌組政府期限內，尼坦雅胡想盡辦法，想要迫使李柏曼屈服，但未能如願。而尼坦雅胡為了打破與各政黨間談判的僵局，做出最後奮力一搏，也支持解散國會。在周四早的投票後不久，尼坦雅胡痛批李柏曼，指責他根本無意達成協議。他說，在籌組聯合政府過程中，李柏曼不斷提出新要求，並諷刺以色列被拖回票箱，只是因為「某人私自的野心」。在新政府成立前，尼坦雅胡仍會擔任臨時總理，他表示，有信心會在新選舉中獲勝。
2019-05-30,代陸舌戰！劉欣2混血寶貝啟發主播風格,美中貿易戰意外掀起女主播舌戰，代表陸方的中國國際電視台（CGTN）女主播劉欣30日將上美國福斯財經網女主播黎根節目辯論貿易戰，引起大批網友關注。據陸媒指出，負責對西方「講好中國故事」的她曾表示，自己在教育兩個長期在西方文化下長大的混血寶貝下獲得啟發，「不能一直強調中國好，應帶點幽默感，把觀眾拉過來，引起他們的思考」。據陸媒《澎湃新聞》2017年對劉欣的專訪中指出，她曾在大二時代表全中國大陸大學生參加在倫敦美中貿易戰意外掀起女主播舌戰，代表陸方的中國國際電視台（CGTN）女主播劉欣30日將上美國福斯財經網女主播黎根節目辯論貿易戰，引起大批網友關注。據陸媒指出，負責對西方「講好中國故事」的她曾表示，自己在教育兩個長期在西方文化下長大的混血寶貝下獲得啟發，「不能一直強調中國好，應帶點幽默感，把觀眾拉過來，引起他們的思考」。據陸媒《澎湃新聞》2017年對劉欣的專訪中指出，她曾在大二時代表全中國大陸大學生參加在倫敦舉辦的國際英語演講比賽，當時以「The Mirror and I」 （鏡子與我）敘述自己的祖母和自己兩代中國女性所經歷的完全不同的命運，並獲得冠軍，成為首位奪冠的陸生，這一戰也讓她獲得進入中央電視台工作的門票。劉欣指出，雖然在播報室內很舒服，但數年下來也感到一些窒息，想到外面的新聞現場看看，但到了國外看到西方主流媒體對中國大陸的報導，內心受到衝擊，例如在日內瓦萬國宮的記者招待會，大部分提問的都是西方媒體，他們就主導了國際主流媒體的聲音，讓她感覺必須改變這種情況。劉欣直言，只要是媒體都有立場，而作為央視工作者的立場，自然是代表與維護中國國家利益與政府立場，「我不標榜自己是絕對自由、絕對客觀的媒體」；而中國作為一個大國，不去發聲也是不行的，從個人角度，CGTN肯定是發出中國的聲音，但很微妙的是，「我們每天都在討論、甚至爭論，到底要怎麼樣去做，才會讓我們的聲音被別人聽到，而不只是發出去」。她強調，中國也不完全好，就像霧霾問題，要怎麼跟西方人講、怎麼樣讓外國人理解的方式，讓他們感覺到我們不光是在為中國政府說話，實際上我們仍是以一個新聞人的角度，以客觀且建設性的批判，這是我們要體現的，「政治正確肯定要講，但你還是要有一定專業的」，畢竟我們的競爭對手是國際媒體。至於要如何讓外國聽眾聽進「中國故事」，劉欣提到她教育兩個長期生長在西方生活的混血寶貝為例，「我要是老跟他們講中國怎麼樣，他們會說『媽媽又說中國好了』；但我發現不能夠太過強勢，太過強調中國多好，從一個女性的角度，帶著女性的優雅，甚至有些溫柔，然後帶著點幽默感，擺事實、講道理」，把外國觀眾爭取過來，引起他們思考，而不是讓他們馬上來贊同我。
2019-05-30,美中貿易戰延燒！女主播舌戰開打,美國福斯財經網女主播黎根（Trish Regan）和中國大陸中國國際電視台《欣視點》主持人劉欣因貿易戰議題而互嗆，雙方30日原本訂早上8時辯論，但後來直到8:20時，劉欣才以節目嘉賓身分與黎根展開舌戰。在辯論前，劉欣和黎根已公開在推特交手1星期，這場眾所期待的辯論一開始就出現火藥味。劉欣連線上後，黎根一開始就說，從黨營的中國國際電視台主播劉欣的說法中，可以了解中共和中國大陸究竟在想些什麼。不過劉欣釐清，她並不是共美國福斯財經網女主播黎根（Trish Regan）和中國大陸中國國際電視台《欣視點》主持人劉欣因貿易戰議題而互嗆，雙方30日原本訂早上8時辯論，但後來直到8:20時，劉欣才以節目嘉賓身分與黎根展開舌戰。在辯論前，劉欣和黎根已公開在推特交手1星期，這場眾所期待的辯論一開始就出現火藥味。劉欣連線上後，黎根一開始就說，從黨營的中國國際電視台主播劉欣的說法中，可以了解中共和中國大陸究竟在想些什麼。不過劉欣釐清，她並不是共產黨，也沒在為政府說話；她表示，自己是專業新聞從業人員。黎根首提中美貿易戰，秀出美國司法部與聯邦調查局近年來查獲的中國涉嫌剽竊商業機密資料，造成美國企業數百億美元損失，表示北京應該對智慧財產給予尊重，不要拿不屬於自己的東西。劉欣說，許多美國企業來到中國大陸，都獲利豐厚，但她並不否認，雙方存在智慧財產等問題，的確需要加以解決；不過，劉欣也說，智慧財產侵權問題到處都在發生，連美國企業都在為侵犯智慧財產權互告，並不能說這問題只存在中國大陸。黎根接著問到中國大陸通過法律要求美企必須技術轉移，劉欣強調，合作互相學習才是解決之道，她還拿自己學英文與新聞為例說，自己也是從美國這邊學到很多，但黎根反擊道，學習合作固然很理想，但遵守規則與法律是很重要的。關於中國大陸以開發中國家加入世界貿易組織（WTO）問題，黎根質疑中國作為全球第二大經濟體卻仍不放棄開發中國家名義，劉欣以中國大陸雖然市場龐大，但人口眾多為例表示，不能光看市場規模，中國人均收入僅美國的1/6，甚至比歐洲部分開發中國家還低。黎根接著問，如果大家都取消關稅，會不會比較好。劉欣同意，如果全面取消關稅，商品會變得較便宜，大家都能受惠；可是問題在於，歐洲與其他國家看到這樣，都會跑來要求取消關稅。黎根並詢問劉欣關於美中貿易戰的個人看法，劉欣回她並沒有內部消息，並不太清楚中美之間的貿易談判究竟到達一個什麼樣的地步，但是認為北京已經非常明確地表明瞭他們的立場。話鋒一轉，黎根問「你怎麼界定國家資本主義」。劉欣詫異了一下，回答說中國大陸的國家資本主義是有中國特色的資本主義，政府或許會在其中扮演某種角色。但80％貿易都是由私人企業做成。這是具有中國特色的社會主義，政府並未主掌一切。雙方交鋒結束時，互相表示願意下次再就其他議題加以溝通。由於中美貿易戰不斷升級，這場約戰引起廣泛關注。原本中方官媒說，會有現場直播，但後來由於福斯商業台（Fox Business）的版權問題，直播已取消。
2019-05-30,批丹麥像委內瑞拉！福斯辣妹主播超敢講,中美貿易戰番外篇－福斯財經新聞網（Fox Business Network）女主播黎根（Trish Regan）與中國環球電視網（CGTN）《欣視點》主持人劉欣的唇槍舌戰今天上午8時將準時開打，這次北京讓旗下官媒主持人回應美方挑釁實屬罕見，甚至被譽為國家級動員，不過美方的備戰選手黎根也不是省油的燈，過去也有對戰丹麥的經驗，國家級備戰經驗還算豐富。綜合英國《獨立報》（The Independent）、《紐約時報》（The New York Times）報導，現年46中美貿易戰番外篇－福斯財經新聞網（Fox Business Network）女主播黎根（Trish Regan）與中國環球電視網（CGTN）《欣視點》主持人劉欣的唇槍舌戰今天上午8時將準時開打，這次北京讓旗下官媒主持人回應美方挑釁實屬罕見，甚至被譽為國家級動員，不過美方的備戰選手黎根也不是省油的燈，過去也有對戰丹麥的經驗，國家級備戰經驗還算豐富。綜合英國《獨立報》（The Independent）、《紐約時報》（The New York Times）報導，現年46歲的福斯財經新聞網女主播黎根主持風格非常敢講，去年8月就曾因辛辣發言聲名大噪，還紅到大西洋對岸，當時她在自己的節目中說「丹麥內部已經在衰敗」，批評丹麥的社會主義體制很危險，讓這個國家的人不想工作，甚至比擬丹麥像委內瑞拉，「兩國人民都是壓制性經濟體制的受害者，剝奪了百姓的發展機會。」不僅如此，她連帶重炮抨擊丹麥寬容的教育體制，稱上學不須繳學費，國家甚至會付錢請你來上學，但結果是沒有人從學校畢業，「他們就只是留在學校」，她還稱現在丹麥學生會從學校畢業，是因為「他們想開杯子蛋糕咖啡店」。黎根的大砲發言及有關委內瑞拉的奇怪比喻馬上引來丹麥全國上下的怒氣，從民間到官方，砲火一致全對準黎根，丹麥財政部長簡森（Kristian Jensen）直接發布推文邀請黎根來參訪，說要對她展示真實數據，推文中還不忘提醒黎根：「丹麥人都不工作？但在經濟合作暨發展組織（OECD）有關就業的數據中，丹麥有11個排名都比美國高。」該則推文隨後也獲得丹麥駐美國大使Lars Gert Lose轉貼，他說非常樂意替黎根安排赴歐行程，但也嘲諷黎根可能會因為沒看到多少杯子蛋糕店而失望。丹麥人民同樣義憤填膺，直接在黎根的推特上大罵她說話充滿謊言及對丹麥的誤解。黎根的大砲言論連第三國媒體都看不下去，英國版《哈芬登郵報》（The Huffington Post）曾刊出一篇文章一一比對黎根節目上有關丹麥的言論，並指出黎根完全扭曲數據代表的意義。儘管言論大膽、數據引用有誤，但其實黎根18年的新聞工作生涯中獲獎無數。2000年她從哥倫比亞大學歷史系畢業，隔年進入CBS晚間新聞擔任商業記者，此後先後任職於CNBC與彭博電視（Bloomberg TV），現在則是「黎根黃金時段」（Trish Regan Primetime）主持人，財經新聞經歷相當豐富。這當中她曾獲得傑出青年廣播記者獎，因報導南美三國邊界和伊斯蘭恐怖組織之間關聯，她於2007年獲得艾美獎調查報導獎提名，後續又以卡崔娜颶風過後紐奧良堤壩系統情形的紀錄片獲得艾美獎最佳紀錄片獎。她的對手劉欣曾在影片中抨擊黎根對大陸的抨擊只有情緒發言、少有事實根據，對照獲獎無數的經歷，令人好奇今天黎根會帶來什麼樣的表現迎戰。
