date,title,content
2019-05-30,美匯率操縱國觀察名單 陸等9國入列,美國財政部28日公布最新匯率報告，中國大陸被列入觀察名單，財長米努勤點名人民幣匯率缺乏透明度。（路透）美國財政部廿八日公布最新匯率報告，未將任何國家列入匯率操縱國，但包括中國大陸、德國、日本、南韓等九國列入觀察名單。台灣並未在名單之中。美國財政部向國會遞交關於美國主要貿易夥伴宏觀經濟與外匯政策半年度報告，美財政部今年審查與評估範圍擴大到台灣在內共廿一個貿易夥伴。報告指出，美國主要貿易夥伴當中，沒有一國達到二○一五年法案所制定的匯率操縱國標準，但將大陸、德國、愛爾蘭、義大利、日本、南韓、馬來西亞、新加坡與越南列入觀察名單，需要密切關注。台灣在一九八八年被美方認定為匯率操縱國，二○一六年四月、十月，以及二○一七年四月則被列入觀察名單。但在二○一七年十月除名後，台灣就未再上榜。我央行高層表示，美觀察是否為匯率操縱國的三項指標中，我國目前僅在「經常帳占ＧＤＰ比率要小於百分之二」此項指標上「距離遙遠」，其他兩項指標則不符合美國所認定的匯率操縱標準。美國財政部長米努勤在聲明中特別點名大陸，他表示，在美中雙邊貿易順差持續擴大的情況下，人民幣兌美元匯率去年下跌百分之八，美國財政部會持續加強與中方在匯率方面的雙邊接觸。聲明指出，中國大陸匯率仍缺乏透明度，但據財政部評估，人民銀行去年直接干預措施有限，財政部會持續敦促中國採取必要措施，避免貨幣持續疲軟。報告提到，中國大陸近年來逐漸加強國家控制，增加對非市場的依賴機制，使用補貼與其他不公平作法扭曲中國與貿易夥伴的經濟關係，這些行為往往限制中國對進口商品的需求與市場准入，導致貿易順差擴大。報告呼籲中國積極面對市場扭曲現象，包括補貼與國有企業。此外，經濟基本面與結構性政策改善有助於增強人民幣匯率，也有助於減少中國對美國的貿易順差。德國已連續第三年被列入觀察名單，報告指德國「為全球最大經常帳順差國」，去年與美貿易順差達六八○億美元；不過，德國隸屬歐元區，對其匯率和貨幣政策不擁有獨立掌控權，而是由歐洲央行管理。
2019-05-29,梅伊因無法脫歐下台 這位高層以同樣原因繼續做,英國國會下議院議長伯考（John Bercow）在美國出席活動時告訴英國衛報，脫歐尚未完成，他不打算在7月下台。各界預期伯考任期屆滿10年就是他的下台日，但他強調自己從未做出承諾，而且「國事如麻」，此時空出議長的位子實屬不智。英國首相梅伊24日以執行脫歐不力宣布請辭。伯考還向保守黨內接替梅伊呼聲最高的前外相強生以及前脫歐大臣拉布嗆聲，別想繞過國會，直接以無協議方式退出歐盟。英國國會下議院議長伯考表示無意於7月下台。路透英國首相梅伊28抵達布魯塞爾出席歐盟非正式峰會。新華社
2019-05-30,吉林振興 開啟氫能經濟時代,吉林省白城市29日對外發布「白城市新能源與氫能產業發展規畫」，正式開啟「氫能經濟」新時代。該市市長李明偉表示，將加快建設「中國北方氫谷」，助推老工業基地吉林全方位振興。中新社報導，作為清潔、高效、可存儲的二次能源，氫能被譽為21世紀「終極能源」。2018年4月開始，地處中國大陸東北腹地的白城市謀畫利用可再生能源製氫，發展氫能產業。白城市製氫的主要技術路線是利用風能、光能等清潔能源來電解水製氫。李明偉表示，白城是中國大陸首批千萬千瓦風電基地、唯一的風電本地消納示範區，還是中國大陸光伏發電應用領跑基地、新能源示範城市。目前，白城市風電、光伏併網裝機465萬千瓦，還有3000萬千瓦容量可開發。李明偉表示，隨著建設成本的不斷降低、發電效率的不斷提高，完全可以為製氫提供充足的低成本電力。當天發布的「規畫」主體共有8個部分，分別是新能源產業面臨形勢與氫能發展機遇、新能源與氫能產業總體規畫思路、新能源電力開發、氫能生產、氫能儲運、氫能利用、投資估算與綜合效益評估，以及保障措施。李明偉指出，「規畫」以2018年為基期，提出了到2020年、2025年、2035年近中遠期發展目標。力爭到2035年，白城風電裝機2000萬千瓦、光伏裝機1500萬千瓦，年生產氫氣能力達到百萬噸級，產值近2000億元（人民幣），累計投資可達到2000億元，形成具有國際影響力的新能源與氫能區域產業集群。白城市副市長張勳奎表示，傳統燃油車的最好替代方案是氫燃料電池汽車，所以在用氫環節可以策畫部署氫燃料電池及汽車等相關產業。他說，氫氣也是一種常規的化工原料，可以與化工產業有機銜接；氫能對於北方寒冷地區小範圍的能源供給也具有現實意義，包括以後5G基站的能源供應等。
2019-05-30,貿易爭端與穆勒談話影響買氣 美股收黑,美聯社美國股市今天下挫，三大指數都收黑，主因美中貿易戰雙方都加緊放話，以及「通俄門」案特別檢察官穆勒發表談話，引發國會可能彈劾總統川普的揣測。道瓊工業指數終場下跌221.36點，或0.87%，收在25126.41點。標準普爾500指數下跌19.37點，或0.69%，收在2783.02點；那斯達克指數下跌60.04點，或0.79%，收在7547.31點。穆勒（Robert Mueller）2017年展開對所謂「通俄門」案的調查以來，首度就此案公開發表談話，他表示由於司法部政策限制，無法起訴川普，但這不表示已證明川普無罪。他暗示應由國會接手調查川普是否妨礙司法。
2019-05-29,台客打工度假勝地勞資錢鬥 基本工資調幅明揭曉,"要求調調漲基本工資是本屆澳洲國會大選的熱門議題。法新社230萬澳洲勞工基本工資的調幅，將於30日揭曉，7月1日起生效。澳洲長久以來是台灣民眾打工度假的熱門地點。目前每周基本工資換算台幣約15,743元，比去年增加3.5%。勞工總會希望今年漲幅6%，等於每周加薪約台幣944元。工商團體則警告這種漲幅將毀掉經濟成長。澳洲工業總會主張調薪2%，相當於每周加薪台幣315元。商業總會則認為不應超過1.8%。主管機關訂於當地時間30日上午11時（台灣時間30日上午9時）公布審議結果。"
2019-05-30,影／首開金口！穆勒為通俄報告畫重點：沒說川普無罪,美國「通俄門」特別檢察官穆勒29日首度就調查報告公開發表聲明，表示基於司法部不指控現任總統的長期見解，在他職權內刑事起訴川普總統「從來都不是選項」，此外他也說，報告並未替川普開脫罪嫌。美聯社美國「通俄門」特別檢察官穆勒29日首度就調查報告公開發表聲明，表示基於司法部不指控現任總統的長期見解，在他職權內刑事起訴川普總統「從來都不是選項」，此外他也說，報告並未替川普開脫罪嫌。根據1973年與2000年的兩份司法部部內法律見解，現任總統不能被刑事起訴，否則會被視為不正當介入總統的憲政職責。穆勒指出，若調查小組相信川普「明顯沒犯罪，我們早就會這樣說」。穆勒還稱，正式指控現任總統行為有所不當時，「憲法要求刑事司法系統以外的程序」。穆勒的「通俄門」調查報告並未指川普競選陣營與俄羅斯不法共謀介入選舉，但條列了10個川普可能試圖妨礙司法調查的事件。外界認為，穆勒的發言是將評估川普行為舉止的工作，推向有權啟動彈劾程序、目前由民主黨占多數的眾議院。儘管民主黨國會議員一直想找穆勒作證，但他表明「報告就是我的證詞」，就算之後要上國會聽證，他也沒有額外資訊可提供。穆勒同時也宣布特檢小組解散，將辭職回歸平民生活。美國總統川普聞訊上推特，稱穆勒報告沒有改變結果，因為沒有足夠的證據，在美國就是無辜的，寫道「結案，謝謝你！」雖然民主黨內部啟動彈劾聲浪高漲，眾議院議長裴洛西仍不願放行，認為共和黨占多數的參議院不會讓川普下台，也會在2020年大選引發反效果。穆勒公開聲明後，她在一場會議上指出，眾院將依據穆勒報告陳述的事實，持續推動調查，「不排除任何事情」。
2019-05-28,中日韓一帶一路工商大會 近400人與會,中日韓「一帶一路」工商大會26日在浙江紹興召開，中國、日本、韓國地方政府代表、企業家代表等近400人參加，共同探尋國際間合作新機遇。 中新社報導，大會以「創新開放、合作共贏」為主題，秉持「共商、共建、共享」的合作理念。中國國際商會原會長姜增偉表示，中日韓三國地緣相近、文化相通，中日韓經貿合作啟動20年來，三國已成為非常重要的經貿合作夥伴。如何為中日韓經濟合作開拓更加廣闊的空間，姜增偉認為，當前要加強三國之間發展戰略對接，實現東北亞深度融合；要集聚三方優勢，推動亞洲地區「中日韓+X」發展；要鼓勵企業合作，共商共建共享亞洲發展成果。會上，中日韓工商界「一帶一路」聯誼會發佈了「中日韓工商界紹興倡議」，發出「建立中日韓三國商協會合作機制」、「推動中日韓三國企業積極參與一帶一路建設」、「加強中日韓三國地方交流與合作」、「推動中日韓重點產業合作」、「支持紹興舉辦中日韓重大交流活動」等五大倡議。紹興是長三角城市群的重要城市，也是中日韓工商界「一帶一路」聯誼會的初創之地。為進一步發揮紹興在中日韓經貿合作中的作用，中日韓工商界「一帶一路」聯誼會長三角聯絡辦公室和中日韓企業交流中心長三角分中心揭牌成立。
2018-01-29,彭博資訊專欄／美財長談美元…搞錯重點了,美國歷任財政部長一般都不愛「談高」或「談低」美元，此誠屬明智之舉，因為財長根本無法掌控美元走勢。非談不可時，歷任財長通常都會說他們信仰強勢美元，就像國防部長說他信仰強勢軍力一樣。但現任財長米努勤一番「弱勢美元對我們有利，因為攸關貿易與機會」的談話，卻促使美元重貶。他這番談話確實非比尋常，但與其說他是在暗示一套新美元政策，還不如說他是在採取一招「談論美元匯率」來得恰當。事實上，美元匯率既不是經濟政策的工具，也不是目標，而是依據不同情況所展現的一項指標。以目前而言，美元匯率所傳送的訊息並不值得警惕。在2014到2016年間，彭博美元指數曾上升約25%，其後至今約回吐掉升幅的一半。美元之前能夠回升，主要是由於美國經濟復甦比其他先進國家快；最近美元的回檔，並不是因為美國復甦減緩，而是其他國家成長增強。如此而已。全球經濟的確正普遍復甦，國際貨幣基金（IMF）最近也上修今年及明年的全球經濟成長率預估，而美元匯率變動正是在反映這種良性的擴張。不過，比較複雜的一面則是匯率變動的效應會回饋到經濟體系，尤其會影響需求。米努勤有一點說得沒錯：弱勢美元能助長美國出口這項需求，因此美元貶值的作用與放鬆金融情勢相當，並可能加重通膨壓力。聯準會（Fed）基於美元貶值，且勞動市場吃緊，也會擔心通膨上升；一旦如此，Fed今年就會加速緊縮步調。財政部真正應該關切的，是美國政府長期的財政健全度。經濟擴張增強，加上寬鬆貨幣政策，會使市場過度樂觀，並可能導致失控。一旦下次經濟衰退終於來臨時，政府在財政上需要一定的空間，實施減稅及提高公共支出等擴張性政策，而金融機構也需要靠政府的力量來度過市場動盪。現在經濟情勢良好，正是財政部增強防禦力量的時機；而審慎的預算規劃與金融監督，才是當前財政部的優先要務；至於美元匯率，在Fed緊盯之下，應該能夠自行其是。（本文為彭博資訊社評）
2019-05-29,貿易戰影響 陸客赴美人數15年來首次下跌,美國商務部旅行旅遊辦公室從美國海關蒐集的相關數據顯示，中國赴美遊客人數2018年為290萬人，下降幅度5.7%。這是2003年以來中國遊客來美人數首次出現下降。美國之音報導，中國赴美旅遊人數出現15年來的首次下降，此前中國赴美人數經歷了10多年的快速增長期。諮詢公司麥肯錫的統計數字顯示，2000年，24萬9千中國人赴美旅行。到2010年，中國人赴美旅行人數增長三倍，2010年達到80多萬人，在2015年又增長了三倍。中國遊客赴美人數劇增的主要原因包括收入增長，便捷的長途航班連接，以及放寬簽證等。2016年和2017年，每年超過300多萬中國人赴美旅行。報導指出，美中貿易戰是來美人數下降的原因之一。川普政府2018年1月首先對中國的太陽能電板和洗衣機加徵關稅，兩國的貿易戰由此開始。現在美國對從中國進口的2000多億美元的商品加徵25%的關稅，中國對從美國進口的大約600億美元的商品進行了關稅報復。另外，中國去年6月28日發佈了赴美旅行警告，稱美國的治安狀況不靖，槍擊、搶劫、盜竊案件頻發。美國隨後也對到中國旅行發出了警告。中國赴美旅遊人數下降的其他原因包括，中國經濟前景的不確定性使旅遊市場中的低端遊客選擇離家更近的地方度假。中國出境游研究所所長王立基表示，2018年最後三個月中國大陸遊客的56%赴香港、澳門或台灣旅行，而2017年只有50%。此外，希望到遠地方旅行的遊客越來越多選擇更具異國情調的克羅地亞、摩洛哥、尼泊爾等地。分析指出，人數的下滑都是暫時的，因為中國的中產階級人數仍在不斷壯大。美國政府預測，今年來美旅遊的中國遊客人數將增長2%，達到330萬，2023年將達到410萬。陸客赴美人數15年來首次下跌。圖為紐約時代廣場。新浪財經
2019-05-30,匈牙利多瑙河觀光船翻覆至少7死 影片曝光,匈牙利警方和救護人員告訴國營電視台，一艘搭載南韓旅客的觀光船今晚在布達佩斯（Budapest）的多瑙河（Danube）翻覆，至少7人喪生，另有數人送往醫院救治。匈牙利國營電視台報導，目前有14人被救起，但其中7人不幸喪生。電視台更正稍早報導，並說有33名觀光客和2名船員在船上。路透社報導，多瑙河正值漲潮，水流強勁，且布達佩斯現在雨勢很大，讓救援工作進行困難。法新社報導，這起事故發生於晚間10時左右，有十多人失蹤。匈牙利首都布達佩斯多瑙河邊夜景。新華社
2019-05-29,川普振興經濟跛腳 世界競爭力評比美跌第三,瑞士洛桑管理學院（IMD）今天公布2019世界競爭力報告，美國跌出全球第一，由新加坡取代。根據IMD最新公布世界競爭力報告，在全球63個國家與地區中，2019年世界競爭力前三強分別為新加坡、香港、美國；2018年競爭力全球第一的美國滑落至第三名，由新加坡取代，香港則保持同樣第二。IMD評比有四大項目，包括「經濟表現」、「政府效能」、「企業效能」及「基礎建設」。IMD指出，2019年全球競爭力主要變數為政治和經濟不確定性，評比顯示亞太地區表現優異，但美國從第一滑落至第三，顯示美國總統川普的減稅振興經濟方案褪色，在國際政治和貿易關係的快速變化下，全球市場將是高度不確定的一年。在亞太國家方面，除分居第一及第二名的新加坡、香港外，中國大陸全球第14位居亞太第三，台灣以第16名在亞太位居第四，領先澳洲、紐西蘭、馬來西亞、泰國、韓國及日本。圖／世界日報提供
2019-05-29,一帶一路為契機 陸大力發展茶旅融合,中國茶葉流通協會會長王慶日前在湖北表示，中國茶產業要以一帶一路倡議為契機，結合茶文化和茶旅遊，大力發展茶旅融合，增強國際競爭力；要打造「互聯網+茶旅」經濟新模式和「體驗消費+茶旅」融合發展新模式，讓全世界分享生態茶旅成果。中新社報導，第二屆中國茶旅大會26日至27日在湖北五峰土家族自治縣舉行，大陸300多名行業專家、旅行業代表、茶商代表聚焦茶旅產業發展。 近十年，中國茶產業飛速增長。2018年，全國茶葉產量達261萬噸，農業產值增至2157億元（人民幣，下同），茶葉內銷達到191萬噸，茶葉出口至128個國家或地區，出口再創36.5萬噸新高，全行業綜合產值已逾6000億元。同時，休閒農業和鄉村旅遊發展也受到各地的重視和支持。浙江大學茶葉研究所所長王岳飛說，中國茶旅產業發展迅速，不過兩者融合仍存有隔閡，部分茶商、茶農不瞭解旅遊，旅遊行業人士也缺少茶文化相關知識。王岳飛稱，各地可通過舉辦茶文化活動增加知名度，同時將生態茶園打造成體驗園、科普園和茶主題公園，還可以開發生產茶產品，吸引遊客，促進茶旅融合。五峰是中國名茶之鄉，是中國古老茶葉產區和中俄萬里茶道重要茶源地。近年來，五峰茶葉綜合產值達到20億元，實現了茶葉出口歐盟。五峰土家族自治縣委副書記、縣長萬紅表示，下一步，五峰將打造集散市場、加工基地、主題公園、特色小鎮和茶鄉文化於一體的茶產業，促進茶旅融合發展。
2019-05-28,江蘇醫院爆69人洗腎感染C肝 院長、書記遭免職,02洗腎出問題 陸爆C肝院內感染 院長免職【作者：特派記者賴錦宏／北京報導 日期：2019/5/28 檔名：9582395.htm】 取材至中新網江蘇省鹽城東台市人民醫院發生重大醫療疏失，因感染管控出現漏洞，爆發院內Ｃ型肝炎感染事件，造成69名血液透析（洗腎）患者感染Ｃ型肝炎。該醫院的書記、院長和副院長，已經全部被免職。江蘇東台市政府新聞辦公室昨發布通報稱，5月13日，東台市衛健委接到人民醫院報告，該院血液淨化中心血液透析患者中心發生Ｃ型肝炎抗體陽性，疑似發生院內感染。經對所有血液透析患者的篩查檢測，共診斷確認Ｃ型肝炎病毒感染69例。專家組調查認定，此次事件是一起因醫院院內感染管理制度落實不到位等原因造成的院內感染。央視網稱，從官方通報可發現，此次嚴重的感染事件發生在血液透析患者之間。血液透析患者由於共用透析器材及接觸密切，被認為是感染Ｃ型肝炎病毒的高危險群。近年來，在防控Ｃ型肝炎方面，輸血傳播已明顯減少，所以防範重點就是不安全注射和其他醫源性傳播。中國發生洗腎病人在醫院感染Ｃ肝事件時有所聞，2009年至2011年間，山西、安徽、河南、遼寧等地多家基層醫院，都曾出現血液透析病人感染Ｃ肝事件。輿論批評稱，總有人抱著僥倖心理，感覺發生醫院感染是「機率小」的事件，放鬆了警惕，出現職業懈怠，不遵守規範流程。如今，事故發生，不僅給患者及其家屬帶來嚴重的身心傷害，使患者病情雪上加霜。對醫院及醫務工作者來說，也產生極其惡劣的社會影響。另據中新網報導，東台市人民醫院相關負責人表示，已對患者成立一對一服務，免費治療。02洗腎出問題 陸爆C肝院內感染 院長免職 取材至中新網
2019-05-30,影／匈牙利多瑙河觀光翻覆 南韓團34人已知7死20失蹤,匈牙利布達佩斯的多瑙河29日發生兩艘遊船相撞翻覆事故，其中一艘不幸沉船，目前已知至少七死、20人失蹤。這艘船上所載的是南韓遊客。據報導，這艘翻覆的遊船行駛到匈牙利國會大廈附近時，與另一艘遊船相撞翻覆，當時由於暴雨籠罩布達佩斯，水流湍急。根據南韓外交部說法，船上共載有34人，其中32名為南韓公民，另兩名為匈牙利籍船員，其中七人不幸罹難。由於當地近日連日豪雨，多瑙河水位高漲，增加搜救難度。目前船隻翻覆的確切原因不明。布達佩斯警消漏夜搜救，已尋獲數名罹難者。 圖／美聯社布達佩斯警消漏夜搜救，已尋獲數名罹難者。 圖/美聯社布達佩斯警消漏夜搜救，已尋獲數名罹難者。 圖／美聯社布達佩斯警消漏夜搜救，已尋獲數名罹難者。路透
